TxPkts,TxBytes,RxPkts,RxBytes,AvgThroughput,AvgDelay,AvgJitter
1712,2478976,1712,2478976,19.9893,0.000357782,0.000142057
1712,2478976,1712,2478976,19.9962,0.000373627,0.000110944
1712,2478976,1712,2478976,19.9923,0.000343145,0.000115759
1713,2480424,1713,2480424,19.9909,0.000337826,0.000137597
1713,2480424,1713,2480424,19.999,0.000394216,0.000147882
1712,2478976,1712,2478976,19.9941,0.000351001,0.000113096
1531,2216888,1531,2216888,19.995,0.000435593,0.000111518
1712,2478976,1712,2478976,19.9982,0.000388193,0.00010672
1530,2215440,1530,2215440,19.9873,0.000524665,0.00014154
1531,2216888,1531,2216888,19.9988,0.000456889,0.000106514
